,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,priceAvg50,priceAvg200,avgVolume
2559,GNRSU,Greenrose Acquisition Corp.,9.98,0.3,0.03,9.98,9.98,10.6,9.05,9.993243,9.968647,13878.0
2560,WHLRP,"Wheeler Real Estate Investment Trust, Inc.",9.5,0.0,0.0,9.5,9.84,13.205,3.63,10.634943,8.976036,2614.0
2561,OFS,OFS Capital Corporation,4.4,10.55,0.42,4.32,4.645,12.09,3.39,4.3888574,4.5878572,66728.0
2562,QQQN,Victory Portfolios II - VictoryShares Nasdaq Next 50 ETF,28.6354,0.94,0.2677,28.231,28.72,28.74,24.87,27.077658,26.803785,100952.0
2563,SOHO,Sotherly Hotels Inc.,1.57,0.64,0.01,1.56,1.6311,6.92,1.43,1.7080001,2.171,72618.0
2564,ELSE,"Electro-Sensors, Inc.",3.5,-2.23,-0.08,3.4783,3.64,8.8,2.61,3.9614286,3.6445715,394703.0
2565,AIQ,Global X Future Analytics Tech ETF,25.52,0.75,0.19,25.15,25.54,25.54,12.75,23.967972,21.719036,39223.0
2566,SPRO,"Spero Therapeutics, Inc.",13.68,-1.51,-0.21,13.235,14.07,14.94,5.25,12.464286,12.237714,362842.0
2567,ARNA,"Arena Pharmaceuticals, Inc.",86.64,0.52,0.45,85.64,88.0,90.19,32.95,79.88857,66.295425,624590.0
2568,BANF,BancFirst Corporation,44.51,-1.74,-0.79,44.3475,45.735,63.96,26.0,43.51857,41.02407,83921.0
2569,BCRX,"BioCryst Pharmaceuticals, Inc.",4.08,-3.66,-0.155,4.01,4.3,6.29,1.38,3.7531428,4.241643,5204378.0
2570,BIS,ProShares UltraShort Nasdaq Biotechnology,29.01,4.35,1.21,27.89,29.35,79.4,26.66,30.259714,32.928356,85001.0
2571,SHOO,"Steven Madden, Ltd.",25.74,-0.46,-0.12,25.555,25.95,44.8,16.38,22.024,22.459072,885056.0
2572,RELL,"Richardson Electronics, Ltd.",4.3,-1.38,-0.06,4.26,4.4205,6.32,3.1,4.3259997,4.2335715,21559.0
2573,FINX,Global X FinTech ETF,40.17,0.42,0.17,39.7,40.44,41.22,19.65,38.720856,35.044888,191712.0
2574,MAACU,Montes Archimedes Acquisition Corp.,9.95,-0.2,-0.02,9.95,9.98,9.98,9.84,9.898261,9.898261,766986.0
2575,OLB,"The OLB Group, Inc.",3.6,0.84,0.03,3.5,3.635,15.0,3.2581,3.7919629,5.7402434,56645.0
2576,PY,Principal Shareholder Yield Index ETF,29.7108,-0.81,-0.2425,29.7108,29.8,34.775,18.781,29.077057,28.288885,10171.0
2577,PSCM,Invesco S&P SmallCap Materials ETF,45.4226,0.43,0.1929,45.4226,46.01,48.2,25.76,41.996284,39.639,1171.0
2578,TATT,TAT Technologies Ltd.,4.14,-1.19,-0.05,4.1301,4.4,7.41,3.0,4.421143,3.9889286,325712.0
2579,SGBX,"SG Blocks, Inc.",2.53,4.12,0.1,2.35,2.6,9.74,1.16,2.1897142,2.5381286,2503615.0
2580,PAAC,Proficient Alpha Acquisition Corp.,7.61,0.0,7.61,7.34,7.7231,11.77,5.55,7.61,8.148293,0.0
